title,p_pos,p_neg,classification
Italy Pays for Long-Term Debt, but Key Auction Proves Smooth,0.991435860415,0.00856413958494,pos
Record Cheap Debt Drives Bond 'Bonanza',0.753188762839,0.246811237161,pos
HEARD ON THE STREET: Italian Debt Still Hangs in the Balance,0.981258610026,0.0187413899737,pos
Tokyo sees prices rising,0.355572898077,0.644427101923,neg
Long Study of Great DepressionHas Shaped Bernanke's Views,0.956297575243,0.0437024247565,pos
Bernanke's Research,0.488095238095,0.511904761905,neg
Japan,0.638888888889,0.361111111111,pos
Japan's deflation cyclemay be near end at last,0.681465958222,0.318534041778,pos
Japan budget billtargets reductionin bond issuance,0.571500299372,0.428499700628,pos
What's Next for Bank of Japan,0.631822613065,0.368177386935,pos
Investors Push Nikkei to 5-Year High,Even as Tab Rises in Trading Blunder,0.87653077804,0.12346922196,pos
Japanese Data ShowRecovery Is on Track,0.369922749149,0.630077250851,neg
Dollar Moves Up,With Solid GainsOn Yen and Pound,0.857869741318,0.142130258682,pos
Dollar Appears HeadedFor Range-Bound Week,0.334410687013,0.665589312987,neg
Bank of Japan Sees Shift,0.590273404216,0.409726595784,pos
Japanese bondsgain amid a dropin Tokyo shares,0.441729323308,0.558270676692,neg
Conditions improve in Japan,0.826056338028,0.173943661972,pos
From Nikkei: Toyota Labor Union SeeksFirst Pay Raise in 4 Years,0.793909827126,0.206090172874,pos
Credit Crisis+Mortgage Mess = Deflation?,0.252985469734,0.747014530266,neg
Deflation Pressures Ease in Japan,0.896880415945,0.103119584055,pos
Bond Yields Harken Back to 2004,0.748316626855,0.251683373145,pos
This Holiday Season,Electronics Top Wish Lists,0.676004884259,0.323995115741,pos
Why Pakistan's Stock InvestorsFocus on Business Over Politics,0.803643310894,0.196356689106,pos
Lifelines for the Drowning Dollar,0.237691710795,0.762308289205,neg
Global Deflation Pandemic Begins to Brew,0.892996108949,0.107003891051,pos
Japanese index heightensconcerns about deflation,0.377821102967,0.622178897033,neg
How to Build a Portfolio Wisely and Safely,0.981405762943,0.0185942370566,pos
Japanese yields head downward on deflation fear,0.643902721482,0.356097278518,pos
Video: Deflation Hits Equities, But Tech Performs Better,0.532066349076,0.467933650924,pos
No Cakewalk for Oil-Services Firms,0.251955161627,0.748044838373,neg
Make Money, Whatever Happens to the Economy,0.135916266893,0.864083733107,neg
Sweden Official Seeks Price Targets,0.661580790395,0.338419209605,pos
Economists React: China's GDP Accelerator Is Working, But What About The Brake?,0.801074689514,0.198925310486,pos
Fed Focuses on Inflation Expectations And Tries to Stem Self-Fulfilling Prophecies,0.533773442,0.466226558,pos
Less-Contained Language,0.642857142857,0.357142857143,pos
The Fed's in the Hot SeatAs Inflation Rises,0.901578836312,0.0984211636884,pos
Reports Intensify Pressure On Fed to Boost Rates,0.559181841498,0.440818158502,pos
Bernanke and Inflation:A Headache for Markets,0.314738830272,0.685261169728,neg
Inflation Fears Mount at FedAs Poole Toughens Rate Posture,0.87365744363,0.12634255637,pos
TIPS Funds Grow as Inflation Hedge,But With Their Allure Comes Caveats,0.820961883659,0.179038116341,pos
Bernanke Highlights Inflation Risks,But Sounds Somewhat Dovish Note,0.949433009079,0.0505669909207,pos
Bernanke's Remarks on Energy, Economy,0.514155982906,0.485844017094,pos
Stocks Rally Despite Inflation Data,0.916854789278,0.0831452107222,pos
'Foregone Conclusion' on Rate Move;Questions on Role of Housing Costs,0.941377443483,0.0586225565175,pos
Paris Hilton vs. the Short Sellers,0.522974642539,0.477025357461,pos
Bonds Are Bracing for Inflation Data,0.913148828969,0.0868511710315,pos
Fed Official Joins Inflation Chorus,But Avoids Hawkish Tone on Rates,0.973472469961,0.0265275300393,pos
Fed Official Bies CitesGrowing Inflation Risk,0.818115825133,0.181884174867,pos
Finding Your Refuge From Inflation,0.893917755456,0.106082244544,pos
Inflation Caps Gain Hedge Popularity,0.830497382199,0.169502617801,pos
Fed Officials Downplay TIPS Inflation Signal,0.934017595308,0.0659824046921,pos
Inflation Rears Its Ugly Head Once Again,0.71344900335,0.28655099665,pos
German Rise in Inflation Is to Hit EU,0.918811784578,0.0811882154223,pos
Inflation Alert,0.642857142857,0.357142857143,pos
For the Fed, a Recession -- Not Inflation -- Poses Greater Threat,0.967066427172,0.0329335728284,pos
Saudi Inflation Reaches 27-Year High,0.757876416863,0.242123583137,pos
The Inflation Fever Breaks (For Now),0.728936011063,0.271063988937,pos
Inflation Challenges Persian Gulf Growth,0.988775510204,0.0112244897959,pos
Perceptions Test China's Ability to Quell Inflation,0.931445988801,0.0685540111992,pos
Fighting Recession Instead of Inflation,0.740825436318,0.259174563682,pos
Personal Spending Up Mere 0.1%, But Inflation Pressures Are Muted,0.974619239286,0.025380760714,pos
South Korea's New President Switches Focus to Inflation,0.765390390779,0.234609609221,pos
China's Wen Puts Inflation, Unrest High on Agenda,0.994510716891,0.00548928310852,pos
Atari's Loss Narrows,0.585106382979,0.414893617021,pos
Infogrames Reports Narrower Loss,0.717391304348,0.282608695652,pos
Toys 'R' Us Net Loss WidensDespite 3.6% Increase in Sales,0.842656040518,0.157343959482,pos
Ciena Loss Narrows as Sales Jump,0.466690042076,0.533309957924,neg
Nortel Reports Loss in Scandal Wake,0.823555166375,0.176444833625,pos
ATI Posts Loss and SlashesRevenue Forecast,0.875796178344,0.124203821656,pos
Circuit City's Loss WidensOn Higher Expenses,0.743049133232,0.256950866768,pos
Continental Still ExpectsTo Post Net Loss for 2005,0.3945421454,0.6054578546,neg
Sears Posts Loss, Lukewarm SalesIn First Report to Wrap In Kmart,0.653131680248,0.346868319752,pos
Take-Two Sales Rise 45%,But Delays Trigger Forecast Cut,0.84256555027,0.15743444973,pos
Alstom Posts Narrower Net Loss,Repeats Vow for Profit This Year,0.664441830108,0.335558169892,pos
Boeing Expects to Post Pretax LossRelated to Sale of Plants to Onex,0.340432294978,0.659567705022,neg
Acquisition Weighs on 3Com's Net,0.65625,0.34375,pos
Grokster's Loss Is America's Gain,0.78601792658,0.21398207342,pos
Spitzer's Stumble,0.342105263158,0.657894736842,neg
EarthLink Posts LossAmid Decline in Subscribers,0.65625,0.34375,pos
Chi Mei Loss Wider Than ForecastAs Panel Prices Decline,0.222070166708,0.777929833292,neg
U.S. Remains the Bane of Ford and Nissan,0.300746243795,0.699253756205,neg
BenQ Posts Loss,Unveils OverhaulIncluding Spinoff,0.921581769437,0.078418230563,pos
China Eastern Airlines Posts Loss,0.743265738499,0.256734261501,pos
LG ElectronicsPosts Loss AmidPricing Pressure,0.517326732673,0.482673267327,pos
Spansion Posts A Wider Loss,0.64453125,0.35546875,pos
Micron Falls After Swinging to Loss;Nasdaq Finishes Week Ahead 2.1%,0.508906874259,0.491093125741,pos
TCL Multimedia ExpectsBig Loss Amid High Costs,0.761342479965,0.238657520035,pos
Northwest's Loss NarrowsAhead of Chapter 11 Exit,0.554435483871,0.445564516129,pos
Goodyear Swings to a Loss,Plans to Expand Production,0.591241262444,0.408758737556,pos
Infineon's Net Loss Narrows,But Wireless Unit Weighs on Results,0.351455450876,0.648544549124,neg
XM Loss NarrowsWith Customer Additions,0.482954545455,0.517045454545,neg
Beazer Posts Loss Amid Weak Housing Market,0.939912311087,0.0600876889129,pos
UAL Loss May Signal Rough Ride Ahead,0.801405026619,0.198594973381,pos
Sharp Decline in Stocks ReflectsInvestors' Greater Aversion to Risk,0.893173483454,0.106826516546,pos
AIG, General ReOfficials KnewOf Deal's Risk,0.810433207133,0.189566792867,pos
FASB Weighs Its Finite-Risk Rules,0.362884817689,0.637115182311,neg
GE Hints It May Exit InsuranceBusiness; Will It Be Revealing?,0.696955874427,0.303044125573,pos
So Indict Him Then,0.499969021546,0.500030978454,neg
Cut Fannie and Freddie Down to Size,0.143721498846,0.856278501154,neg
Short-Term Risk Forecast Falls To Lowest Level in Nearly 3 Weeks,0.87227869209,0.12772130791,pos
A Misguided Proposal to Regulate Risk-Taking,0.107456140351,0.892543859649,neg
Insurance ProbeTo Expand FocusTo Purchasers,0.763157894737,0.236842105263,pos
J&J Heart-Failure Drug AttractsFurther Scrutiny Over Safety,0.959679093177,0.040320906823,pos
Leveraged Buyouts Heap RiskOn Investors Hungry for Yields,0.811595479992,0.188404520008,pos
Morgan Stanley LosesInstitutional Risk Advisor,0.902414932703,0.0975850672969,pos
Greenspan's TestimonyOn Fannie, Freddie,0.159090909091,0.840909090909,neg
Australian Debt Rides Out New Risk,0.966552427427,0.0334475725727,pos
Risk Watchers,Part 2: PeeringOver the Hedge,0.831530894363,0.168469105637,pos
What Makes a Drug Too Risky? There's No Easy Answer,0.70870753913,0.29129246087,pos
Painkiller Study Reinforces Cardiovascular Risk,0.631845841785,0.368154158215,pos
Asthma, AllergiesDuring PregnancyDouble Autism Risk,0.051724137931,0.948275862069,neg
AIDS Drug CocktailsMay Double Heart Risk,0.900311760242,0.0996882397581,pos
Short-Term Risk Forecast Shows Biggest One-Day Rise Since July,0.97889928904,0.0211007109599,pos
Hormone TherapyMay Raise RiskOf Incontinence,0.439655172414,0.560344827586,neg
Where FindingsOn PainkillersLeave Patients,0.404590943769,0.595409056231,neg
Merck Documents ShedLight on Vioxx Legal Battles,0.763992537313,0.236007462687,pos
Option Traders' Risk PerceptionKeeps Easing After Fed Rate Rise,0.963497891333,0.0365021086667,pos
Health Mailbox,0.404761904762,0.595238095238,neg
FDA Panel Questions Industry,Agency on Painkiller Handling,0.517804326696,0.482195673304,pos
Cancer-Risk Label ConsideredFor Two Topical Eczema Creams,0.890272233493,0.109727766507,pos
Reducing Title Insurance Premiums Would Put Consumers at Risk,0.962410778213,0.0375892217867,pos
FDA Conclave Will AssessCardiac Risks of Painkillers,0.301241452398,0.698758547602,neg
Hospitals Aim to CurbInjuries From Falling; Risk for Young Patients,0.632947534407,0.367052465593,pos
Tiger Woods Crash: 911 Call to be Released Today,0.895231295266,0.104768704734,pos
Video: Deadly Train Crash in Russia,0.899906550323,0.100093449677,pos
Video: Video of Front-Impact Crash Tests,0.339114832536,0.660885167464,neg
Video: Video of Side-Impact Crash Tests,0.339114832536,0.660885167464,neg
Pilot Error Suspected in Yemenia Airways Crash,0.469453821039,0.530546178961,neg
Woods Speaks Out on Crash, Blaming Himself,0.435445416714,0.564554583286,neg
U.S. to Probe China Cargo Plane Crash,0.383673987765,0.616326012235,neg
Ford Says Inflatable Seat Belt Could Reduce Crash Injuries,0.0694119206501,0.93058807935,neg
Terrorism Suspected in Russia Train Crash,0.991626952608,0.00837304739211,pos
Three Americans Die in China Plane Crash,0.723017277328,0.276982722672,pos
Allied Irish Raises Bad Debt Charge,0.879645657601,0.120354342399,pos
Video: Couple Crashes Obama's First State Dinner,0.562240963171,0.437759036829,pos
FAA Plans Tougher Ice Rules,0.349267146018,0.650732853982,neg
Elvis-Themed Las Vegas Resort on Hold,0.538728468699,0.461271531301,pos
Video: Ford's Newest Feature: Inflatable Seat Belt,0.355174010629,0.644825989371,neg
NTSB Suggests Poor Visibility in Plane Crash Involving Former Sen. Stevens,0.430117658425,0.569882341575,neg
Stevens Describe Horror at Stevens Crash Site,0.474531294969,0.525468705031,neg
10 Venezuelan Troops Die in Helicopter Crash,0.506521630906,0.493478369094,pos
Pakistan Air Crash Blamed on Visibility, Errors,0.817705697804,0.182294302196,pos
NTSB Focuses on Actions of Pilot in Stevens Crash,0.676971024259,0.323028975741,pos
Condition of Plane-Crash Survivor Improves,0.698910081744,0.301089918256,pos
Ted Stevens Dies in Alaska Plane Crash,0.131697929901,0.868302070099,neg
Legacy of the 'Flash Crash',0.612409228559,0.387590771441,pos
Peter Lenz Crash: Teen Motorcycle Racer Dies In Accident,0.128036778363,0.871963221637,neg
Video: Deadly Bus Crash near Quito, Ecuador kills 38.,0.232794375615,0.767205624385,neg
Crash-Proof Cars: Cadillac Says They Are Coming (Video),0.0974816884134,0.902518311587,neg
Circuit Breakers Prevent Sudden Losses at LSE,0.199211908932,0.800788091068,neg
Video: No, We're Not Better Off Post Flash Crash,0.310761459686,0.689238540314,neg
All but One Survive Aircraft Crash on Landing,0.542067031086,0.457932968914,pos
Deadly Mojave Desert Crash -- Photos.,0.526867014246,0.473132985754,pos
German Engineering,0.850785340314,0.149214659686,pos
Surviving the Big, Scary 'Mega-Bubble',0.464145192942,0.535854807058,neg
Investors Fret Mortgage Balloons Will Burst,0.083619212889,0.916380787111,neg
What Housing Bubble?,0.898819108964,0.101180891036,pos
Housing PricesAren't Fed Target,Greenspan Says,0.91193218376,0.0880678162399,pos
Japan's Burst BubbleIn 1980s Real EstateMay Not Echo in U.S.,0.753561466622,0.246438533378,pos
Cooling Housing's Jets,0.583333333333,0.416666666667,pos
Australia SuggestsEnd of Home BoomNeedn't Be Dire,0.734293193717,0.265706806283,pos
Real Estate Pulls InM.B.A. StudentsDespite Bubble Fears,0.878486995081,0.121513004919,pos
Editor's Note,0.54753820034,0.45246179966,pos
Walking the Line,0.493198296952,0.506801703048,neg
Portfolios That Invest in Real EstateOr in Latin America Are Hot,0.574351936198,0.425648063802,pos
Beijing Rules RestrainFlow of Venture Capital,0.903767820774,0.0962321792261,pos
Stocks Stand Up to Terror,0.6664,0.3336,pos
Investors Like What They See (So Far),0.511592945463,0.488407054537,pos
Whither the Yuan?,0.50025,0.49975,pos
Puncturing the "Private-Equity Bubble",0.797036817195,0.202963182805,pos
Secondary Sources: Paulson's Credibility, Carry Trades and the Housing Bubble,0.547401189093,0.452598810907,pos
You Know It's a Private-Equity Bubble When...,0.530131689534,0.469868310466,pos
The Man Who Saw It Coming,0.497189139922,0.502810860078,neg
Our Subprime Fed,0.603254319004,0.396745680996,pos
Desperate House Loans?,0.750374617239,0.249625382761,pos
'How I Became a Quant',0.66847826087,0.33152173913,pos
Japan Land Prices Rise 8.6%,Biggest Gain in 15 Years,0.820580154324,0.179419845676,pos
The Tension Between Traditional Economics and Bubbles,0.54706322978,0.45293677022,pos
BofA's Countrywide Gamble,0.409090909091,0.590909090909,neg
Reading: The Cleaner,0.458828176315,0.541171823685,neg
Behind a Sushi Empire,A Meticulous Balance,0.911139274401,0.0888607255993,pos
The Song of Bernanke,0.628946274242,0.371053725758,pos
China at 5000: Buying Frenzy Continues,0.770959902795,0.229040097205,pos
Steps to Avoid Onerous Credit-Card Fees,0.881884641596,0.118115358404,pos
Citigroup Alters Interest-Rate Practices,0.907407407407,0.0925925925926,pos
New Battle Over ReformOf Americans' 401(k)s,0.714859052319,0.285140947681,pos
How Street Hit Lender,0.668828743265,0.331171256735,pos
Tapping World's Oil Rigs,0.254384159394,0.745615840606,neg
Foreclosure RiseBrings BusinessTo One Investor,0.0639667188167,0.936033281183,neg
Banks Go on Subprime Offensive,0.349684968497,0.650315031503,neg
Senate Chides Credit-Card Companies,0.9375,0.0625,pos
If It's Time to Move Out of Stocks,Is There Anything to Move Into?,0.553653239616,0.446346760384,pos
Subprime Wreckage Entices Bargain Hunters,0.70652173913,0.29347826087,pos
Learning From Palm's Pain,0.874383818467,0.125616181533,pos
Bally to WeighChapter 11 FilingAmid Debt Woes,0.75,0.25,pos
Mortgage Fears Lift Treasurys,0.659870083003,0.340129916997,pos
Tax-Shelter Client of myCFO Goes to Court,0.675836160931,0.324163839069,pos
Where to Land a Flight to Safety,0.704207626511,0.295792373489,pos
Housing Bears Bet on Shaky Credit,0.931554290896,0.0684457091035,pos
Calpine's Bond Prices RiseOn News of Bankruptcy Filing,0.29625074985,0.70374925015,neg
Corporate bankruptcies risein Korea, credit defaults fall,0.398111452818,0.601888547182,neg
DecipheringA Mistrial,0.5,0.5,pos
Credit-Derivatives Deadline Looms,0.375,0.625,neg
The Worst of 2005: Confusion,'Reform' and (Ugh!) the AMT,0.0379863815636,0.962013618436,neg
S&P Cuts GM Credit Rating Further,0.547160336012,0.452839663988,pos
Market Is Waiting to See if FedShifts Wording in Next Meeting,0.638338889162,0.361661110838,pos
Calpine's Woes Don't Deter Investors in Junk-Bond Market,0.928015564202,0.0719844357977,pos
Unipol's pursuit of BNL hitsanother financial roadblock,0.783582089552,0.216417910448,pos
Epilogue to a (Former) Short's Story:Data on Allied Capital Aren't Pretty,0.650173391939,0.349826608061,pos
Equity Firms Pursue $8 Billion Deal,0.447129590545,0.552870409455,neg
Indictments SoughtIn Probe of Cirio,0.5,0.5,pos
Leveraged Loans Came to RescueIn Year of Flailing Credit Market,0.772333100189,0.227666899811,pos
From Nikkei BOJ Watching for SpikesIn Loans to Realtors, REITs,0.712017407104,0.287982592896,pos
Bear Stearns May Settle SEC Case,0.166288462119,0.833711537881,neg
Innocent Mexicans Bear the Brunt of Drug Violence,0.090966026553,0.909033973447,neg
Tiger Holds Off Montgomerie,Continues His Chase of Nicklaus,0.635960868575,0.364039131425,pos
Housing GetsEven Less Affordable,0.93137254902,0.0686274509804,pos
Zoos Gone Wild,0.481437209956,0.518562790044,neg
How Bikers' Water BackpackBecame Soldiers' Essential,0.763552535465,0.236447464535,pos
Wall Street TurnsBlind Eye to ResultsOf Option Expensing,0.538301710219,0.461698289781,pos
Bulls, Bears Debate DreamWorks,0.985576923077,0.0144230769231,pos
NYSE Seat Prices Cool Off a Tad,0.880229183001,0.119770816999,pos
At Morgan Stanley, The Parachute Opens Up Golden,0.39836151865,0.60163848135,neg
Arroyo Asks Cabinet to ResignAs Political Crisis Escalates,0.92619614222,0.0738038577804,pos
Mack ReceivesRich Pay PactPacing Rivals',0.239932885906,0.760067114094,neg
Bulls, Bears Debate JetBlue,0.946153846154,0.0538461538462,pos
China's Tradable-Share PlanRemains Crucial to Markets,0.702520515826,0.297479484174,pos
Yuan of a New Era:The Impact on Markets,0.882497601782,0.117502398218,pos
Where the Wild Things Are,0.52185848587,0.47814151413,pos
Ryne Sandberg Breaks the MoldWith Fiery Cooperstown Speech,0.643771500903,0.356228499097,pos
Simmons Stumps Shorts on Timet,0.214285714286,0.785714285714,neg
Big Ship, New Captain,0.520632264581,0.479367735419,pos
Trans-Atlantic Crossing,0.616666666667,0.383333333333,pos
Bulls, Bears Debate Chevron,0.946153846154,0.0538461538462,pos
Inventively Ever After: In 'Brothers Grimm,' TellersAnd Tales Wondrously Mingle,0.969953646474,0.0300463535261,pos
Ouch! Jet-Fuel Prices Outpace Crude,0.807692307692,0.192307692308,pos
The Theology of Global Warming,0.91618420523,0.08381579477,pos
Cable CompaniesCall Up New Growth Story,0.530817067909,0.469182932091,pos
Mexico Surges to Record Highs,0.334112149533,0.665887850467,neg
Major's Frustration,0.588675213675,0.411324786325,pos
On Baghdad Beat,Policeman DodgesBombs, Turncoats,0.113175675676,0.886824324324,neg
Housing-Bubble TalkDoesn't Scare Off Foreigners,0.687760124498,0.312239875502,pos
Notable & Quotable,0.552083333333,0.447916666667,pos
U.N.'s Program for the Poor of North Korea Strives to Forestall Corruption,0.372238995772,0.627761004228,neg
Shanghai Tycoon Faces Bribery Charges,0.817392583873,0.182607416127,pos
China to Charge Top StatisticianIn Connection With Pension Probe,0.676516429289,0.323483570711,pos
A Former No. 2 Official BecomesSuspect in Siemens Bribery Probe,0.409804711093,0.590195288907,neg
German Prosecutor ChargesLawmaker in VW Scandal,0.980603448276,0.0193965517241,pos
OECD Challenges BritainFor Ending Bribery Probe,0.695986238532,0.304013761468,pos
At Siemens, WitnessesCite Pattern of Bribery,0.710526315789,0.289473684211,pos
No Free Lunch:New Ethics RulesVex Capitol Hill,0.659250397104,0.340749602896,pos
In Katrina's Wake:Where Is the Money?,0.518577859535,0.481422140465,pos
New Allegations to Challenge Siemens,0.896719458685,0.103280541315,pos
With Aid, U.S. Widens RoleIn Palestinian Crisis,0.96234114672,0.0376588532798,pos
Judgment Day,0.663030359298,0.336969640702,pos
Excerpts From The WSJ Interview With Thailand's Thaksin Shinawatra,0.920053949218,0.0799460507824,pos
Investors Credit Putin As They Pile Up Profits,0.242040056721,0.757959943279,neg
Speaker Pelosi's Ethics,0.451807228916,0.548192771084,neg
A Top Taiwan RegulatorDenies Corruption Claims,0.281582648906,0.718417351094,neg
Suharto's (Un)Pardon,0.5,0.5,pos
Chen's Son-in-Law Is Held,0.510266940452,0.489733059548,pos
Caught in China's Transformation,0.796552555448,0.203447444552,pos
Hyundai Motor Chairman Will Be Indicted,0.639547964819,0.360452035181,pos
Reactions to Enron Guilty Verdicts,0.595880149813,0.404119850187,pos
A Foreign Investor's Take on Russia,0.767366136035,0.232633863965,pos
Their People, Our Money,0.524646030967,0.475353969033,pos
Malayse,0.5,0.5,pos
Turkey's Danger Zone,0.0645375772135,0.935462422787,neg
Very Rough Justice,0.777827735167,0.222172264833,pos
What Ails Afghanistan?,0.4925,0.5075,neg
Guilty Plea By Former Aide BringsAbramoff Probe Closer to Rep. Ney,0.575524262179,0.424475737821,pos
De La Hoya Knows the Ropes,0.405850280802,0.594149719198,neg
Cleaning House?,0.615509409474,0.384490590526,pos
Dividend Stocks Haven't Caught Investors' Fancy,0.581798471124,0.418201528876,pos
Stocks Post Biggest Gain of '05,0.617198450499,0.382801549501,pos
Will Japanese Stocks ContinueTo Lure Buyers From Abroad?,0.933418656395,0.066581343605,pos
Squeezing Profits From Stocks in 2005,0.738935314144,0.261064685856,pos
What Wall Street's BestAre Telling Their Clients,0.51521449602,0.48478550398,pos
Stocks Flop Into 2005With Stumbling Start,0.488011344032,0.511988655968,neg
Drug Stocks Still Have Some Benefits,0.823513773002,0.176486226998,pos
Asian Markets End Higher;Japan Rises on Tech Stocks,0.948410731523,0.0515892684774,pos
A Small Victory for Stocks,0.790065769759,0.209934230241,pos
Americas Markets End Mixed,0.866109876848,0.133890123152,pos
InfoSpace, Jakks Pacific Advance,0.139705882353,0.860294117647,neg
Stocks Slip, Oil Prices RiseAs Earnings Reports Pile Up,0.939903846154,0.0600961538462,pos
Airlines Take Brunt of the Selloff;Oil-Related Stocks Notch Gains,0.73737692835,0.26262307165,pos
Stocks End HigherAfter an Early RallyIn Oil Prices Eases,0.809549613239,0.190450386761,pos
Small Stocks' Allure Fades,0.616048215552,0.383951784448,pos
Stocks Left Little-Changed,0.641503046716,0.358496953284,pos
Stocks Firm Up in Late Rally,0.818198039142,0.181801960858,pos
Bank Fears Sink Stocks,0.807926829268,0.192073170732,pos
Bank Stocks Rally in Europe,0.908551068884,0.0914489311164,pos
Bank Rally Helps Stocks Cut Losses,0.812212446525,0.187787553475,pos
Retailers Lead Stocks Higher,0.444388676972,0.555611323028,neg
Earnings Jitters Hit Stocks,0.82083958021,0.17916041979,pos
Stocks Leap as Fears Ebb,0.89102056962,0.10897943038,pos
Stocks Open Second Quarter Strong,0.731153202362,0.268846797638,pos
Banks, Travel Shares Lead Declines in Europe,0.922923769072,0.0770762309283,pos
Swine Flu Hurts Tourism Stocks, Boosts Pharmaceuticals,0.431034482759,0.568965517241,neg
Why Investors Should Avoid Bank Stocks,0.437254034944,0.562745965056,neg
Europe Stocks End Sharply Lower,0.884012208224,0.115987791776,pos
Some Hopeful Signs for Stocks and Bonds,0.444768747921,0.555231252079,neg
Bank Rally Prolongs Market's Winning Streak,0.882909161241,0.117090838759,pos
Napolitano Under Fire Again,0.501792438582,0.498207561418,pos
Bush's Speech on the Economy,0.513873789185,0.486126210815,pos
Economy PoisedFor '07 Rebound,Forecasters Say,0.228471683476,0.771528316524,neg
U.S. Economy Grows 3.5%;Inflation Gauge Falls Sharply,0.757776132036,0.242223867964,pos
'Economy Busted Out'In the Fourth Quarter,0.0448456824433,0.955154317557,neg
Thailand's Economy Is Open for Business,0.28284933054,0.71715066946,neg
Bush to Deliver SpeechOn State of the Economy,0.513407718319,0.486592281681,pos
Global Economy Gets Momentum Outside U.S.,0.429970326409,0.570029673591,neg
Prodi to Open Up Italy's Economy,0.53,0.47,pos
Fed's Ideal Rate of GrowthCould Be Slower in the Future,0.902536456869,0.0974635431307,pos
Stocks Take a Walk in the Clouds,0.749721652219,0.250278347781,pos
Sustained Robust Growth Challenges Beijing,0.871402877698,0.128597122302,pos
Fed's Lacker Cites InflationAs Top Risk to U.S. Economy,0.785962629871,0.214037370129,pos
EPA Improves Its Mileage Estimates,But Stats Still Don't Tell the Whole Story,0.894546676488,0.105453323512,pos
Fed Official Outlines Threats to Economy,0.214845239333,0.785154760667,neg
China Steps Up Efforts to Cool Economy,0.413127125278,0.586872874722,neg
Fed Chairman Bernanke's Speech,0.713114754098,0.286885245902,pos
Merger Mania? Glad to Hear It's Happening!,0.595061505065,0.404938494935,pos
U.K. and GermanyProvide a BoostTo Region's Economy,0.100961538462,0.899038461538,neg
Hong Kong's Economy Has Strong Rebound,0.357508079687,0.642491920313,neg
How Much Do Election ShakeupsAffect the Nation's Economy?,0.436781357431,0.563218642569,neg
Why the Economy Needs Consumers To Shop This Year,0.407191841705,0.592808158295,neg
Democrats Target Wealth GapAnd Hope Not to Hit Economy,0.816168614003,0.183831385997,pos
Readers Respond on the Election, Economy,0.347397075766,0.652602924234,neg
Euro-Zone GrowthSlowed in Quarter,Suggesting a Peak,0.441176470588,0.558823529412,neg
Stocks Start Busy Week Higher,0.717334208798,0.282665791202,pos
Economic Jitters Sap Stocks,0.829646017699,0.170353982301,pos
Arroyo Says PesoMay Rise FurtherOn Solid Economy,0.539970797864,0.460029202136,pos
Bank of Japan RemainsUpbeat About Economy,0.413812997442,0.586187002558,neg
Bush Gains Ground on Economy,But Iraq Still Tops Voters' Agenda,0.951499143684,0.0485008563163,pos
What's Behind the Boom,0.402492984731,0.597507015269,neg
Housing StartsFall in Latest SignOf Cooling Market,0.911293169383,0.0887068306172,pos
Housing Market ShowsFurther Signs of Cooling,0.840057636888,0.159942363112,pos
Housing Market Faces Big Test,0.91242301101,0.0875769889902,pos
Bernanke Sees Economic RisksFrom Energy, Housing Market,0.979473440851,0.0205265591488,pos
