title,polarity,subjectivity,classification
7 Movies to Stream for Any Stage of Romance,0.0,0.0,neu
Video: Can Flipkart.com Be the Amazon.com of India?,0.0,0.0,neu
After Leaving Amazon  Laurence Kirshbaum Joins Waxman Leavell Literary Agency,0.1,0.1,neu
Will Amazon's Drones Really Deliver? (Cartoon),0.2,0.2,neu
Unocal Becomes a Hot Property,0.25,0.85,pos
Court's Big Finish,0.0,0.1,neu
Selling Green in Bush Backyard,-0.2,0.3,neu
Corrections & Amplifications,0.0,0.0,neu
Nasdaq Gains Little in NYSE Fight,-0.1875,0.5,neg
White House May Tap Oil Reserves,0.0,0.0,neu
Canada Regulators Approve Export Permits for LNG Proposals,0.0,0.0,neu
An Icy Wind Wreaks Havoc on Texas Oil Fields,-0.1,0.1,neu
Cold Snap Crimps Texas Oil Output,-0.6,1.0,neg
Grammy Nominations 2014: Jay Z Leads Field (Complete List),0.1,0.4,neu
CEOs See Some Light After a Dismal 2009,0.4,0.7,pos
Gulf Oil Spill Draws Criminal Probe,-0.4,0.55,neg
Oil News Roundup,0.0,0.0,neu
Tullow: Ghana Test Fails to Find Oil,-0.5,0.3,neu
A Smidgeon of Good News for Ailing BP,0.7,0.6,pos
Anadarko  Kerr-McGee Statements,0.0,0.0,neu
Oil News Roundup,0.0,0.0,neu
Oil News Roundup,0.0,0.0,neu
Oil News Roundup,0.0,0.0,neu
Oil News Roundup,0.0,0.0,neu
Warren Buffett  Unplugged,0.0,0.0,neu
Credit-Card Firms Go for Small,-0.25,0.4,neu
Reborn AT&T MakesA Subdued Comeback,0.0,0.0,neu
'One Throat to Choke',0.0,0.0,neu
TV On-DemandMay Make AdsMore Targeted,0.0,0.0,neu
Moving Ahead ... but Slowly,-0.3,0.4,neu
Who's News Briefs,0.0,0.0,neu
Serena SoftwareTo Be AcquiredFor $1.2 Billion,0.0,0.0,neu
Employer  State Support StallsFor Mothers Who Nurse at Work,0.0,0.0,neu
In Year of Disasters Experts Bring OrderTo Chaos of Relief,0.0,0.0,neu
Bet on Huge Plane Trips Up Airbus,0.4,0.9,pos
Piloting Boeing's New Course,0.136363636364,0.454545454545,neu
Boeing to Record Up to $1.1 BillionIn Charges on Jet Delays  U.S. Pact,0.0,0.0,neu
Can Boeing and Lockheed Work Together?,0.0,0.0,neu
FAA Ruling on Long-Haul RoutesWould Boost Boeing's Designs,0.0,0.0,neu
Analysts: Airbus Delays MayHarm Management's Rep,0.0,0.0,neu
Boeing ReportsOver $5.8 BillionIn Week's Orders,0.0,0.0,neu
Boeing Weighs Sale or ClosureOf Connexion Internet Venture,0.0,0.0,neu
Boeing Announces ConnexionMay Be Sold or Shut Down,-0.155555555556,0.288888888889,neu
Cathay OrdersSix Freighter JetsFrom Boeing,0.0,0.0,neu
Bank of America Sets Card Venture,0.0,0.0,neu
Bank of America Plans to CutFees for Online Stock Trading,0.0,0.0,neu
Insurers  Banks Clash Over ClaimsFor Enron  WorldCom Settlements,0.0,0.0,neu
Temasek back in China bank,0.0,0.0,neu
GMAC Will Sell Off Auto Loans,0.0,0.0,neu
Beijing defends stake sales,0.0,0.0,neu
Who's News Briefs,0.0,0.0,neu
J.P. Morgan to ExpandReach of Card Business,0.0,0.0,neu
BBVA extends its reach into U.S.,0.0,0.0,neu
GMAC Auction Won't Be Simple,0.0,0.357142857143,neu
Stronger Dollar Poses Profit Risks,0.0,0.0,neu
FDA Seizes Contaminated Heparin,0.0,0.0,neu
Drug Makers Disclose Value of Samples,0.0,0.0,neu
Noted ...,0.0,0.0,neu
U.S. Awards PactsFor DevelopmentOf Flu Vaccines,0.0,0.0,neu
Jittery Companies Stash Cash,0.0,0.0,neu
Vaccine Makers Struggle to Speed Output,0.0,0.0,neu
Baxter to Replace or Pay Refunds on Infusion Pumps,0.0,0.0,neu
Baxter's Profit Drops 8.9%,0.0,0.0,neu
iShares Russell 2000  Baxter International: Money Flow Leaders (IWM  BAX),0.0,0.0,neu
Biogen's Stock JumpsOn Strong Profit Forecast,0.433333333333,0.733333333333,pos
Apple Falls as Biogen  Merck Rise,0.0,0.0,neu
New Plea for PDL BioPharma to Sell,0.136363636364,0.454545454545,neu
For Long-Term Investors Don't Sweat the Volatility,0.0,0.0,neu
Experimental Lupus Drug Fails,-0.2,0.35,neu
Biogen Chairman RastetterTo Retire at End of Year,0.0,0.0,neu
As Biotech Drug Prices Surge U.S. Is Hunting for a Solution,0.0,0.0,neu
MS Patients WarnedOn Use of Cancer Drug,0.0,0.0,neu
Biogen Idec Says Early Testing May Halt Deaths Tied to Tysabri,0.1,0.3,neu
Genentech to Buy Biogen Plant,0.0,0.0,neu
The Other Women to Watch,-0.125,0.375,neu
New York FedReports Progress On Derivatives,0.136363636364,0.454545454545,neu
New York Fed Taps J.P. Morgan CEO,0.136363636364,0.454545454545,neu
Once-Battered Mizuho FinancialHopes a U.S. Listing Helps It Grow,0.0,0.0,neu
New York Fed TapsEconomist DudleyAs Markets Chief,0.136363636364,0.454545454545,neu
Citigroup's Risky Win in China,0.8,0.4,neu
In China  Citigroup EncountersHurdles to Retail-Banking Plans,0.0,0.0,neu
Fed's Kos Will Leave Was Link to Markets,0.0,0.0,neu
Morgan Stanley Buys Group Stake,0.0,0.0,neu
Noted . . .,0.0,0.0,neu
Why a LawmanWields AuthorityOver Drug Maker,0.0,0.0,neu
Bristol-MyersTo Pay $89 MillionTo Settle Lawsuits,0.0,0.0,neu
Bristol-Myers Ex-OfficialsAre Indicted,0.0,0.0,neu
Text of Bristol-Myers Statement,0.0,0.0,neu
Bristol-Myers Moves Aren't Radical,0.0,0.0,neu
Bristol-Myers Expected to Pay$300 Million to Settle Probe,-0.1,0.4,neu
FDA Tentatively ApprovesGeneric Version of Sustiva,0.0,0.0,neu
Bulls  Bears Debate ImClone,0.0,0.0,neu
Drug Makers Show ProgressOn New Diabetes Medications,0.136363636364,0.454545454545,neu
Brazil IssuesAIDS-Drug Ultimatum,0.0,0.0,neu
Berkshire Hathaway Bought $18 Million In Stock,0.0,0.0,neu
Berkshire Hathaway Buys New Stake in CVS Caremark  DirecTV  Intel,0.136363636364,0.454545454545,neu
Berkshire Hathaway Earnings Quality Worries Analyst,0.0,0.0,neu
Berkshire Didn't Double Its Stake in Verisk After All,0.0,0.0,neu
Berkshire Net Falls  but Operating Profit Gains 37%,0.0,0.0,neu
Is Warren Buffett Letting the Analyst Foxes Into the Henhouse?,0.0,0.0,neu
Tanking Jefferies Stock Drags Down Mini-Berkshire,-0.155555555556,0.288888888889,neu
Berkshire: Too Big to Thrive?,0.0,0.1,neu
Berkshire's NetJets Sues IRS Over Tax Bill,0.0,0.0,neu
Buffett to Buy Omaha World-Herald,0.0,0.0,neu
Citigroup Board BlocksWeill's Bid to Step Down Early,-0.0277777777778,0.294444444444,neu
Sanford Weill tenta deixar o Citigroup; conselho nega,0.0,0.0,neu
Weill Ends Suspense:He'll Stay at CitigroupAnd Not Leave Early,0.1,0.3,neu
Citigroup's No. 2Will Leave  SeekA Firm to Lead,-0.2,0.4,neu
Why Legg Mason Is GettingOut of the Brokerage Business,0.0,0.0,neu
Citigroup  Bank of America FeelPinch of Interest-Rate Trends,0.0,0.0,neu
Weill's Perks Create Obstacles,-0.05,0.0,neu
Dois maiores bancos dos EUA decepcionam mercado,0.0,0.0,neu
Supermarket Savvy:Insurers See SuccessIn Banking Sector,0.0,0.0,neu
Philadelphia ExchangeIs Courting Investors,0.0,0.0,neu
Housing Pinches Caterpillar,0.0,0.0,neu
Apple Grabs Focus In Mixed Trade Before Earnings,0.0,0.25,neu
The 'Six Sigma' Factor for Home Depot,0.0,0.0,neu
Bush to Deliver SpeechOn State of the Economy,0.0,0.0,neu
Thermal Dynamics,0.0,0.0,neu
Stocks Rise Ahead of Fed,0.0,0.0,neu
How to Assess 2007's M&A Activity,0.0,0.0,neu
In Trade Talks Western Farmers Hold Their Ground,0.0,0.0,neu
Downgrades Chip Away at Nasdaq,0.0,0.0,neu
After Iraq Votes  More Dissension,0.5,0.5,pos
Colgate Net Rises Despite Charges,0.0,0.0,neu
Procter & Gamble Colgate-PalmolivePost Higher Profit,0.25,0.5,pos
Financial ChiefOf TIAA-CREFResigns Her Post,0.0,0.0,neu
Playing It SafeMay Not Be BestIn This Downturn,0.0,0.0,neu
Y&R Chief's First Test:Rebuilding His Own Brand,0.425,0.666666666667,pos
Layoffs Seem to Conflict With TaxBreak Meant to Propel Job Growth,0.0,0.0,neu
Former ExecutiveCould Face ScrutinyIn Berkshire Probe,0.0,0.0,neu
China's M.B.A. ProgramsAttract the Business Elite,0.0,0.0,neu
'Call to Action' Ads Give Clients Results They Can Measure,0.1,0.1,neu
Hedge Funds Find CureFor Poison Pill: Teamwork,0.0,0.0,neu
Other Sources: Tuesday's Press Roundup,-0.125,0.375,neu
Comcast  UnitedHealth Group: Money Flow Leaders (CMCSA  UNH),0.0,0.0,neu
CEOs See Some Light After a Dismal 2009,0.4,0.7,pos
Sprint Seeks Control of Clearwire,0.0,0.0,neu
The Morning Ledger: J.P. Morgan CFO Stepping Down,-0.155555555556,0.288888888889,neu
Political Diary: California's Corporate-Labor Alliance,0.0,0.1,neu
Recommended Reading,0.0,0.0,neu
Hedge Fund Paid Summers $5.2 Million in Past Year,-0.25,0.25,neu
Video: Find Out Where Corporate Jets are Really Going,0.1,0.1,neu
Rachel Maddow's Bad Company,-0.7,0.666666666667,neg
ING to Sell Capital One Stake for $3 Billion,0.0,0.0,neu
Olympus  Sony Close to Agreement on Capital Injection,0.0,0.0,neu
Olympus Nears Decision on Sony Investment,0.0,0.0,neu
The Methodology Behind 'The Next Big Thing',-0.133333333333,0.266666666667,neu
Ally Bank's New Ads Aim at Big Banks  Robots,0.0681818181818,0.277272727273,neu
Discover Settles Inquiry of Credit-Protection Products,0.0,0.0,neu
Road to CEO Post Goes Through CFO at Some Big Firms,0.0,0.1,neu
Friday IPOs Fail to Price as Thursday's Rally Doesn't Carry,-0.5,0.3,neu
L.A. Story: Koreatown's Banks Star,0.0,0.0,neu
A Bank Zombie Lurks in Little Saigon,-0.1875,0.5,neg
ConocoPhillips to SellChinese Onshore Block,0.0,0.0,neu
ConocoPhillips's $10M Carbon Offset,0.0,0.0,neu
ADM  Conoco Join ForcesTo Make 'Biocrude' Product,0.0,0.0,neu
Smaller Oil Firms FuelRevival of U.K. North Sea,0.0,0.5,neu
Kazakh Energy Plan Seen Aimed at Kashagan,0.0,0.0,neu
Exxon Is FirstTo Go Legal RouteIn Venezuela Dispute,0.2,0.2,neu
Eni Says Kashagan TalksAre 'Open  Constructive',0.0,0.5,neu
To Gain Exposure to Gold Traders Look to Mine Options,0.0,0.0,neu
Mutual-Fund Managers Ready to Pounce,0.2,0.5,pos
Stocks Steady as Oil Gains Again,0.166666666667,0.5,pos
Costco Cuts View  Citing Markdowns On Pricey Goods,0.0,0.0,neu
Micros  Lam Research Increase;Costco Slides on Earnings Miss,0.0,0.0,neu
Wine Sales ThriveAs Old BarriersStart to Crumble,0.1,0.2,neu
Consumer Demand and GrowthIn Laptops Leave Dell Behind,-0.4,0.7,neg
Stocks Edge Higher in Thin Trading,-0.075,0.675,neg
MarketBeat: Sweet Breadth,0.35,0.65,pos
MarketBeat: Gold Mergers Cap a Good August,0.7,0.6,pos
Metal Maneuvers,0.0,0.0,neu
GDP Change-Ups,0.0,0.0,neu
Commercial BoomGathers Steam,0.0,0.0,neu
Cisco Loses Patent Argument,-0.3,0.1,neu
Cisco Hints of Upturn as Profits Rise,0.0,0.0,neu
The Morning Download: Security Concerns Thwarting Innovation,0.0,0.0,neu
Unified Communications Is Gaining Traction Among CIOs and IT Departments,0.0,0.0,neu
Upside: Apple Isn't the Only Company With a Cash Hoard,0.0,1.0,neu
The Morning Download: Utilities to Address 'Significant Weaknesses' in Cybersecurity,0.375,0.875,pos
The Morning Download: Big Data Faces Organizational Hurdles,0.0,0.1,neu
Oracle to Buy Acme Packet for $1.7 Billion,0.0,0.0,neu
The Morning Download: How Dell's Deal Helps Customers,0.0,0.0,neu
Dell Buyout Plan Includes Bringing Cash to U.S.,0.0,0.0,neu
Judge Delays Caremark Vote,0.0,0.0,neu
ISS Urges Caremark HoldersTo Vote Down Bid by CVS,-0.155555555556,0.288888888889,neu
Judge Refuses to Halt DealBetween Caremark-CVS,0.0,0.0,neu
Express Scripts' ResponseTo CVS Raising Dividend,0.0,0.0,neu
Investment Adviser RecommendsCaremark Holders Reject CVS Deal,0.0,0.0,neu
Express Scripts' DelayIn Caremark Bid Aids CVS,0.0,0.0,neu
Healthy Sales  Margins Help CVS Boost Net,0.25,0.25,neu
Is $100 Billion LBO Next?,0.0,0.0,neu
Express Scripts DuoKeeps Stock and Faith,0.0,0.0,neu
As Rivals Tussle  Medco Sees Gains,0.0,0.0,neu
Jury to Decide: Is Chevron Liable for Killings in Nigeria?,-0.1,0.5,neg
Chevron's Net Income Soars,0.0,0.0,neu
Tiffany  Caterpillar  GE in a Ricochet Rise,0.0,0.0,neu
As Prices Slide  Oil Firms Make Tough Calls and Conserve Cash,-0.388888888889,0.833333333333,neg
Total Submits Plan for China Gas Project,0.0,0.75,neu
Offshore Rig Workers Call the Shots,0.0,0.0,neu
Dow Industrials Drop 445 Points,0.0,0.0,neu
U.S. stocks record gains  helped by H-P's outlook,0.0,0.0,neu
Nasdaq at 5-Year Low; Best Buy Fears Worst,0.0,0.533333333333,neu
Dow Rallies By 248.02  But Declines 4.1% on Week,0.0,0.0,neu
Review of TeflonFlags More RiskThan EPA Report,0.5,0.5,pos
Donaldson's Last Hurrah,0.0,0.0666666666667,neu
Blue Chips Slide on Oil Spurt,0.0,0.1,neu
Next Dream for Venter: CreateEntire Set of Genes From Scratch,0.0,0.0,neu
Pistons Outlast the Heat at Home But Now the Spurs Await Them,0.0,0.0,neu
Let's Get Nanotech Right,0.285714285714,0.535714285714,pos
Pollution Violators in ChinaAre Cited by Nonprofit Group,0.0,0.0,neu
Is Dow Chemical a 'Buy 'Or Would a Buyout Be Better?,0.5,0.5,pos
Big Corn Crop May Not Curb Prices,0.0,0.1,neu
Stocks Slip on Weak Housing Data,-0.375,0.625,neg
Text of Disney Press ReleaseNaming Iger as New CEO,0.136363636364,0.454545454545,neu
Disney Turns to Insider IgerTo Take CEO Reins From Eisner,0.0,0.0,neu
Letter to Disney Directors,0.0,0.0,neu
How Eisner Handles Transition Is Crucial For Walt Disney Co.,0.0,1.0,neu
As Weinsteins Exit Disney A Murky Script,0.0,0.0,neu
Disney Cuts Strategic-Planning Unit,0.0,0.0,neu
Iger Faces a BumpyMagic Kingdom Ride,0.0,0.0,neu
EBay CEO Whitman Withdraws As Candidate for Disney Top Spot,0.5,0.5,pos
Disney DissidentsAttack Eisner RoleIn Search for CEO,0.0,0.0,neu
Lehman Brothers  Walt DisneyGain Despite Oil-Price Nerves,0.0,0.0,neu
Book review: Make It in America,0.0,0.0,neu
The Daily Start-Up: Amgen Offers A Cool Billion,0.15,0.216666666667,neu
U.S. Manufacturing Picks Up,0.0,0.0,neu
China Spends $2.4 Billion...On Pesticides?,0.0,0.0,neu
'Bhopali' Documentary Probes 1984 Industrial Disaster,0.0,0.0,neu
Video: Manufacturing in the U.S. Makes a Comeback as More Jobs Are Created than Lost - News Hub,0.5,0.5,pos
Qatar Discusses LNG Supply With Sinopec,0.0,0.0,neu
Video: Stocks Start Year in Rally Mode - News Hub,0.0,0.0,neu
In 2010  Growth Topped Gloom for Stocks,-0.133333333333,0.133333333333,neu
On Tap Wednesday: South Korea GDP  Japan Trade Data,0.0,0.0,neu
Storm's DamageTo Energy PlantsAppears Limited,-0.0714285714286,0.142857142857,neu
Reckoning Katrina's Reach,0.0,0.0,neu
Energy Companies  Airlines Retailers Report Closures,0.0,0.0,neu
Oil  Gas Production on Gulf Coast,0.0,0.0,neu
Higher Energy Prices Boost Devon's Profit,0.25,0.5,pos
ETF Aims to Profit From $4 Gas,0.0,0.0,neu
Crude's Price Surge Attracts Oil-Field Thieves,-0.7,1.0,neg
These 5 Companies Show Us the Money,0.0,0.0,neu
Amazon.com Slides 10%;Google Falls,0.0,0.0,neu
Stock Picks for 2006: Twelve Big Names,0.0,0.1,neu
Ebay Inc.,0.0,0.0,neu
Auctions Remain a Challenge for eBay,0.0,0.0,neu
EBay Classified-Ad Site to Rival Craigslist,0.0,0.0,neu
Nokia Puts eBay's Skype on Handsets,0.0,0.0,neu
We Know What You OughtTo Be Watching This Summer,0.0,0.0,neu
Mischief Unmanaged,0.0,0.0,neu
More Small Firms Expand Abroad,0.125,0.45,neu
Google Pays Price for Spending to Spur Growth,0.0,0.0,neu
Spectrum Sale May Open Market,0.0,0.5,neu
Avid Boarders Bypass Branded Gear,0.25,1.0,pos
Video: Big Data and The Enterprise,0.0,0.1,neu
Dublin Moves to Block Controversial Tax Gambit,0.55,0.95,pos
How Many iPads in a Zettabyte?,0.5,0.5,pos
Video: Find Out Where Corporate Jets are Really Going,0.1,0.1,neu
Video: Are Large Stocks More Attractive Than Small?,0.316071428571,0.582142857143,pos
Is Perry Like Reagan? Report Cards for Teachers  Hackathons Move to Mainstream,0.0,0.0,neu
Bulls See Legs in Tech-Stock Rally,0.0,0.0,neu
Search Software GetsBoost From New Rules,0.136363636364,0.454545454545,neu
Boss Talk: What Security Firm RSA Learned From Its Own Breach,0.2,0.7,pos
Boss Talk: What RSA Learned From Its Security Breach,0.0,0.0,neu
Emerson Electric&#8217;s Short-Out,0.0,0.0,neu
Brewer Anheuser-Busch Uneasy as New Owner InBev Slashes Costs,0.136363636364,0.454545454545,neu
The New Rules of Central Air,0.0681818181818,0.352272727273,neu
Heavy Machinery & Materials,-0.2,0.5,neg
Emerson Electric Co.,0.0,0.0,neu
Chloride Rejects Offer By Emerson Electric,0.0,0.0,neu
Noted ...,0.0,0.0,neu
Sales Gains Lift Emerson Profit,0.0,0.0,neu
Bad Week Weighs On U.S. Companies' Confidence,-0.7,0.666666666667,neg
Investors Seek Signs of Pickup in Autos,0.0,0.0,neu
TXU Buyout Proposal's Mixed Effect,0.0,0.25,neu
Aquila Deal Bows to State Regulators,0.0,0.0,neu
TXU  Dow ChemicalSurge on Down Day,-0.155555555556,0.288888888889,neu
Virgin Media's Flap With BSkyBCould Have a Long  Costly Run,-0.05,0.4,neu
In TXU Deal  Texas Regulator Has Few Levers to Pull,-0.2,0.1,neu
The Bottom Line,0.0,0.0,neu
Avon  MGIC Rise; Sands Declines,0.0,0.0,neu
Overheard,0.0,0.0,neu
Arbitrage Looks More and More Arbitrary,0.3,0.533333333333,pos
Reliant to Sell Retail Unit  Focus on Power Generation,0.0,0.0,neu
Ford Motor Credit's OfferingOf Debt Gets Warm Reception,0.6,0.6,pos
U.S. Auto Sales Slumped 8% in May,0.0,0.0,neu
Ford Plans Deeper Cuts as Sales Slip,0.0,0.0,neu
Ranking the Most-Reliable Cars,0.0,0.0,neu
Ford to Pay Fine to Settle ChargesIt Didn't Disclose Investment Risk,0.416666666667,0.5,pos
Key Treasury Yield Falls Below 4%,0.0,1.0,neu
Ameritrade  E*Trade Gain;Ford Motor Drops on Outlook,0.0,0.0,neu
Ford Recalls 260 000 Vehicles,0.0,0.0,neu
Ford Begins the ProcessOf Shedding Hertz Unit,0.0,0.0,neu
Small InvestorsRethink Auto Bonds,-0.25,0.4,neu
Some Students Find ThemselvesIn Principal's Office Over Blogs,0.0,0.0,neu
AOL Hopes to Steer Message-System FansTo Its Web-Site Ads,0.0,0.0,neu
Where the Bets Are,0.0,0.0,neu
Schools Use Web to Teach About Booze,0.0,0.0,neu
Too Much Information?,0.2,0.2,neu
Corrections & Amplifications,0.0,0.0,neu
Friendster's 'Eww' Moment,0.0,0.0,neu
Venture CapitalistsAre Betting BigOn Consumer Gadgets,0.0,0.0,neu
Readers Spar OverSocial-Networking Sites,0.0,0.0,neu
Facebook Plans Enhanced Ties to Outside Services,0.0,0.05,neu
Protesters AttackFreeport's Office;Mine Stays Shut,0.0,0.0,neu
Copper Falls on Options Selling Report of Swelling Inventories,0.0,0.0,neu
Freeport-McMoRan Posts $13.9 Billion Loss,0.0,0.0,neu
Caterpillar  AmEx Fall While Barclays Surges,0.0,0.0,neu
Financials Citi  BofA and MetLife Drop,0.0,0.0,neu
Hot Stocks This Morning: Nokia  Alcatel-Lucent and Many More!,0.458333333333,0.616666666667,pos
Gold  Silver Jumping Again Amid MENAJapanEuro Concerns,0.0,0.0,neu
Dow Jumps Past 12100  Chartists Fret About S&P 500,-0.25,0.25,neu
Three Reasons Gold (and Silver) Are Jumping Higher,0.25,0.5,pos
Dr. Copper Likes the Strong U.S. Economic Data,0.316666666667,0.466666666667,neu
FedEx to RaiseRates by 5.9%,0.0,0.0,neu
Tough Times Complicate the Case for Buying Super Bowl Ads,-0.0277777777778,0.75,neg
DHL Beats a Retreat From the U.S.,0.0,0.0,neu
Companies Caught in India Drama,0.0,0.0,neu
CEOs Say Stimulus Top Priority,0.5,0.5,pos
UPS Won't Forecast Holiday-Shipping Volumes,0.0,0.0,neu
DHL Retreats From U.S. Market,0.0,0.0,neu
UPS Signs Global Deal With the European PGA,0.0,0.0,neu
Video: CEO Council: How the U.S. Can Remain Competitive,0.0,0.0,neu
WSJ's CEO Council Coverage Begins,0.0,0.0,neu
Who Read What in 2014,0.0,0.0,neu
'Glee' Star Jane Lynch's Emotional Goodbye to Cory Monteith,0.0,0.65,neu
Bill O'Reilly's 'Killing Kennedy': Watch the Trailer For the Movie,0.0,0.0,neu
Deals of the Day: Kinder Morgan  Chiquita  Carl Icahn and Lots of IPOs,0.0,0.0,neu
Hedge Funds Flock to Apple,0.0,0.0,neu
Smucker  Oracle  IBM Among Credit Suisse's 35 Firms Ripe for a Spinoff,0.0,0.0,neu
Demi Lovato to Join 'Glee',0.0,0.0,neu
Action Movie '2 Guns' Outdraws Competition at the Box Office,0.1,0.1,neu
After Box Office Bombs  New Sony Pictures Exec Eyes the Bottom Line,0.136363636364,0.454545454545,neu
'Dads': Group Calls Sitcom 'Racist'  Fox Won't Reshoot,0.0,0.0,neu
Defense-Industry Bosses Cash In,0.0,0.0,neu
One Small Step for Drones,-0.25,0.4,neu
BAE Posts Huge Jump In Year's Profit,0.4,0.9,pos
BAE's Success Is Put to the Test,0.3,0.0,neu
Rumsfeld Lays Out DefenseFor Proposed Pentagon Budget,0.0,0.0,neu
Bush's Defense BudgetPuts Off Cuts to Weapons,0.0,0.0,neu
Military BudgetSpares WeaponsFrom Cutbacks,-0.1,0.1,neu
Icahn's Sound and FuryJust Aren't Enough,0.2,0.45,neu
Who's News Briefs,0.0,0.0,neu
Congress Tackles Defense Budget,0.0,0.0,neu
